iter	Passed	Remaining
266	1207	3314
267	1211	3309
268	1216	3305
269	1220	3300
270	1224	3295
271	1229	3290
272	1233	3285
273	1238	3280
274	1242	3275
275	1246	3270
276	1251	3265
277	1255	3260
278	1260	3256
279	1264	3251
280	1268	3246
281	1273	3242
282	1277	3237
283	1282	3233
284	1286	3228
285	1291	3223
286	1295	3219
287	1300	3214
288	1304	3209
289	1309	3205
290	1313	3201
291	1318	3196
292	1322	3191
293	1327	3188
294	1331	3183
295	1336	3178
296	1340	3173
297	1345	3169
298	1349	3164
299	1354	3159
300	1358	3154
301	1362	3150
302	1367	3145
303	1372	3141
304	1376	3136
305	1380	3131
306	1385	3128
307	1390	3124
308	1395	3119
309	1399	3114
310	1404	3110
311	1408	3106
312	1413	3102
313	1417	3097
314	1423	3094
315	1427	3089
316	1431	3085
317	1437	3081
318	1441	3077
319	1447	3075
320	1452	3072
321	1458	3070
322	1463	3068
323	1469	3065
324	1473	3061
325	1479	3059
326	1485	3056
327	1490	3052
328	1496	3051
329	1501	3049
330	1506	3045
331	1512	3043
332	1517	3039
333	1523	3036
334	1528	3034
335	1533	3031
336	1539	3029
337	1545	3027
338	1550	3024
339	1555	3020
340	1562	3018
341	1567	3015
342	1572	3011
343	1578	3010
344	1584	3007
345	1589	3005
346	1595	3002
347	1601	2999
348	1607	2998
349	1613	2996
350	1619	2993
351	1625	2992
352	1630	2988
353	1635	2984
354	1640	2981
355	1645	2977
356	1650	2973
357	1656	2970
358	1662	2967
359	1667	2964
360	1673	2962
361	1679	2959
362	1684	2956
363	1690	2953
364	1695	2950
365	1701	2947
366	1706	2943
367	1711	2938
368	1716	2934
369	1721	2931
370	1726	2926
371	1731	2923
372	1736	2919
373	1741	2914
374	1746	2910
375	1751	2906
376	1755	2901
377	1760	2897
378	1765	2893
379	1770	2888
380	1775	2883
381	1780	2880
382	1785	2875
383	1789	2871
384	1794	2866
385	1799	2862
386	1804	2857
387	1808	2853
388	1813	2848
389	1818	2844
390	1823	2840
391	1828	2836
392	1833	2832
393	1840	2830
394	1845	2827
395	1850	2822
396	1855	2818
397	1861	2815
398	1866	2811
399	1871	2807
400	1876	2803
401	1881	2799
402	1886	2795
403	1891	2790
404	1897	2787
405	1903	2784
406	1908	2781
407	1914	2778
408	1920	2774
409	1926	2771
410	1931	2768
411	1937	2764
412	1942	2761
413	1948	2758
414	1954	2755
415	1960	2752
416	1966	2748
417	1971	2745
418	1977	2741
419	1982	2737
420	1988	2734
421	1993	2731
422	1999	2727
423	2004	2722
424	2009	2718
425	2014	2714
426	2021	2712
427	2027	2709
428	2032	2705
429	2038	2701
430	2043	2697
431	2048	2693
432	2053	2689
433	2058	2684
434	2064	2681
435	2069	2677
436	2074	2673
437	2080	2668
438	2084	2664
439	2089	2659
440	2095	2655
441	2100	2651
442	2105	2647
443	2110	2642
444	2115	2638
445	2120	2633
446	2125	2629
447	2142	2639
448	2147	2635
449	2152	2630
450	2157	2626
451	2163	2622
452	2168	2618
453	2173	2613
454	2178	2609
455	2183	2605
456	2189	2601
457	2194	2596
458	2199	2592
459	2204	2587
460	2209	2583
461	2214	2578
462	2219	2574
463	2224	2570
464	2229	2565
465	2235	2561
466	2239	2556
467	2244	2551
468	2249	2547
469	2254	2542
470	2259	2538
471	2264	2533
472	2269	2528
473	2274	2524
474	2279	2519
475	2286	2517
476	2292	2513
477	2297	2509
478	2303	2505
479	2308	2500
480	2314	2497
481	2319	2492
482	2324	2488
483	2330	2484
484	2335	2479
485	2340	2474
486	2345	2470
487	2350	2466
488	2355	2461
489	2361	2457
490	2366	2453
491	2372	2449
492	2377	2445
493	2382	2440
494	2388	2436
495	2393	2431
496	2398	2427
497	2405	2424
498	2410	2420
499	2415	2415
500	2420	2411
501	2426	2407
502	2431	2402
503	2437	2398
504	2442	2394
505	2447	2389
506	2452	2385
507	2458	2380
508	2463	2376
509	2469	2372
510	2473	2367
511	2479	2363
512	2484	2358
513	2489	2354
514	2495	2349
515	2500	2345
516	2505	2341
517	2511	2336
518	2516	2332
519	2521	2327
520	2527	2323
521	2532	2319
522	2537	2314
523	2543	2310
524	2548	2305
525	2553	2301
526	2558	2296
527	2564	2292
528	2569	2288
529	2575	2283
530	2580	2279
531	2585	2274
532	2591	2270
533	2596	2265
534	2601	2261
535	2606	2256
536	2612	2252
537	2618	2248
538	2623	2244
539	2628	2239
540	2633	2234
541	2638	2229
542	2643	2225
543	2649	2221
544	2654	2215
545	2658	2210
546	2663	2205
547	2668	2200
548	2673	2195
549	2677	2190
550	2683	2186
551	2687	2181
552	2692	2176
553	2697	2171
