iter	RMSE
368	11708.9855
369	11698.79411
370	11693.63492
371	11688.99118
372	11665.77053
373	11651.81761
374	11626.54045
375	11608.02357
376	11580.38384
377	11569.51743
378	11542.68947
379	11532.15891
380	11513.30533
381	11510.60765
382	11494.22842
383	11466.13095
384	11439.19991
385	11411.79303
386	11390.14218
387	11375.20968
388	11359.39676
389	11346.91779
390	11327.37714
391	11305.25572
392	11290.56421
393	11279.30555
394	11262.69599
395	11240.4183
396	11225.04701
397	11204.73375
398	11180.47273
399	11161.57463
400	11144.30175
401	11125.72371
402	11097.02179
403	11085.24266
404	11070.77663
405	11043.70511
406	11025.31643
407	11004.28738
408	10982.73007
409	10968.45627
410	10957.83027
411	10939.68467
412	10931.96133
413	10912.74926
414	10899.48303
415	10877.12413
416	10867.06803
417	10843.0195
418	10828.44036
419	10807.8186
420	10793.30724
421	10773.15545
422	10745.73667
423	10728.58443
424	10709.12376
425	10702.85704
426	10680.61712
427	10664.07349
428	10655.16198
429	10643.61453
430	10625.38364
431	10615.71393
432	10607.05394
433	10591.34384
434	10587.82821
435	10570.01593
436	10546.93985
437	10541.8685
438	10531.16708
439	10526.96689
440	10514.3398
441	10498.33029
442	10473.37082
443	10471.44364
444	10459.60215
445	10443.24669
446	10433.57905
447	10425.75307
448	10410.91145
449	10402.59459
450	10392.50437
451	10369.66713
452	10352.2158
453	10340.27581
454	10326.51636
455	10311.11044
456	10289.388
457	10271.25365
458	10254.08057
459	10242.19254
460	10214.42254
461	10188.2505
462	10171.18517
463	10151.95795
464	10135.27406
465	10121.62558
466	10101.83871
467	10089.74725
468	10078.31084
469	10069.85912
470	10054.25719
471	10048.66821
472	10033.29766
473	10016.42958
474	10008.65705
475	9988.979151
476	9973.326738
477	9958.528624
478	9942.991193
479	9929.284087
480	9908.473499
481	9887.680687
482	9866.753064
483	9853.143306
484	9849.113
485	9845.755511
486	9831.086396
487	9821.180466
488	9795.436332
489	9782.951561
490	9766.073995
491	9757.241
492	9746.402772
493	9729.026199
494	9712.7735
495	9696.635102
496	9674.270878
497	9655.623931
498	9647.049485
499	9643.714797
500	9631.095332
501	9625.821604
502	9609.145414
503	9595.140183
504	9588.954549
505	9573.439686
506	9561.029508
507	9546.726588
508	9524.580826
509	9507.398471
510	9504.981905
511	9488.988592
512	9476.068458
513	9467.224394
514	9461.132372
515	9441.125678
516	9429.547304
517	9423.122486
518	9421.672836
519	9405.922136
520	9390.57745
521	9376.271241
522	9359.135771
523	9342.713109
524	9326.017175
525	9314.089088
526	9312.737077
527	9301.63909
528	9273.685705
529	9258.248315
530	9242.909744
531	9211.653092
532	9198.268803
533	9170.173616
534	9151.202435
535	9139.300956
536	9124.441055
537	9114.368846
538	9102.192225
539	9089.700061
540	9079.612262
541	9067.7773
542	9066.55555
543	9050.698906
544	9030.65764
545	9017.986425
546	8997.230456
547	8976.662705
548	8963.113821
549	8950.498686
550	8931.720483
551	8924.216075
552	8912.275758
553	8899.263862
